id,turn_id,kind,era_cohort,title,narrative,mechanical_delta,source,created_at
1808,,relational,confederation,Baron Lucas of Oakville and Viscount Wallace of Perth fall out,Season 115 · Baron Lucas of Oakville and Viscount Wallace of Perth fall out over a church and school dispute in the border townships.,"{""season"": 115, ""marker"": ""Sig\u2212"", ""cause"": ""friction"", ""grievance"": ""a church and school dispute in the border townships""}",engine,2026-09-08 13:29:27
1809,,relational,confederation,Baron Lucas of Oakville and Baron Wallace of Hespeler fall out,Season 115 · Baron Lucas of Oakville and Baron Wallace of Hespeler fall out over the water rights of a shared river.,"{""season"": 115, ""marker"": ""Sig\u2212"", ""cause"": ""friction"", ""grievance"": ""the water rights of a shared river""}",engine,2026-09-08 13:29:27
1810,,relational,confederation,Baron Lucas of Oakville and Viscount Worts of Milton fall out,Season 115 · Baron Lucas of Oakville and Viscount Worts of Milton fall out over a church and school dispute in the border townships.,"{""season"": 115, ""marker"": ""Sig\u2212"", ""cause"": ""friction"", ""grievance"": ""a church and school dispute in the border townships""}",engine,2026-09-08 13:29:27
1811,,relational,confederation,Viscount Elliott of Glengarry corresponds with Baron Rouleau de Chambly,Season 115 · Viscount Elliott of Glengarry opens a correspondence with Baron Rouleau de Chambly.,"{""season"": 115, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:27
1812,,founding,dominion,Baron Stefaniuk of Regina founded by partition from Baron Stefaniuk of Emerson,Season 115 · Baron Stefaniuk of Regina is founded by partition from Baron Stefaniuk of Emerson.,"{""season"": 115, ""nature"": ""partition"", ""parent"": ""Stefaniuk""}",engine,2026-09-08 13:29:27
1813,,succession,dominion,Baron Stefaniuk of Emerson: clean succession,Season 115 · Fedir Stefaniuk succeeds to Baron Stefaniuk of Emerson.,"{""season"": 115, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:27
1814,,societal,dominion,The Great War,Season 115 · Viscount Benjamin of Bellechasse meets The Great War and stands aside.,"{""season"": 115, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1914, ""magnitude"": ""Major"", ""tag"": ""Global""}",engine,2026-09-08 13:29:27
1815,,relational,dominion,Earl Mercier de Rimouski corresponds with Baron Hoover of Simcoe,Season 115 · Earl Mercier de Rimouski opens a correspondence with Baron Hoover of Simcoe.,"{""season"": 115, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:27
1816,,relational,confederation,Earl Bouchard de Terrebonne corresponds with Viscount Chapais de Saint-Hyacinthe,Season 115 · Earl Bouchard de Terrebonne opens a correspondence with Viscount Chapais de Saint-Hyacinthe.,"{""season"": 115, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:27
1817,,societal,dominion,The Great War,Season 115 · Earl Langelier de Charlevoix meets The Great War and resists.,"{""season"": 115, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1914, ""magnitude"": ""Major"", ""tag"": ""Global""}",engine,2026-09-08 13:29:27
1818,,elevation,dominion,Marquis Meagher of Chatham elevated,Season 115 · Earl Meagher of Chatham is raised to Marquis.,"{""season"": 115, ""from"": ""Earl"", ""to"": ""Marquis""}",engine,2026-09-08 13:29:27
1819,,societal,dominion,The Great War,Season 115 · Baron Hoover of Simcoe meets The Great War and resists.,"{""season"": 115, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1914, ""magnitude"": ""Major"", ""tag"": ""Global""}",engine,2026-09-08 13:29:27
1820,,succession,dominion,Baron Hoover of Simcoe: clean succession,Season 115 · Wilhelm Hoover succeeds to Baron Hoover of Simcoe.,"{""season"": 115, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:27
1821,,societal,confederation,Klondike Gold Rush,Season 115 · Viscount Rochon de Rosedale meets Klondike Gold Rush and resists.,"{""season"": 115, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1897, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1822,,societal,dominion,United Church Formed,Season 115 · Viscount Cameron of Cornwall meets United Church Formed and resists.,"{""season"": 115, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1925, ""magnitude"": ""Minor"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:27
1823,,societal,confederation,Indian Act,Season 115 · Earl Bird of Winnipeg meets Indian Act and resists.,"{""season"": 115, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1824,,relational,confederation,Earl Bird of Winnipeg and Baron Gillies of Woburn are joined by marriage,"Season 115 · Annie Bird marries Lachlan Gillies, binding Earl Bird of Winnipeg to Baron Gillies of Woburn.","{""season"": 115, ""marker"": ""kin""}",engine,2026-09-08 13:29:27
1825,,societal,dominion,Spanish Influenza,Season 115 · Baron Cardinal of Steinbach meets Spanish Influenza and resists.,"{""season"": 115, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1918, ""magnitude"": ""Significant"", ""tag"": ""Global""}",engine,2026-09-08 13:29:27
1826,,relational,dominion,Baron Cardinal of Steinbach wins a dispute with Baron Stefaniuk of Emerson,Season 115 · Baron Cardinal of Steinbach carries a dispute against Baron Stefaniuk of Emerson.,"{""season"": 115, ""outcome"": ""won"", ""marker"": ""\u2296""}",engine,2026-09-08 13:29:27
1827,,societal,confederation,Manitoba Schools Question,Season 115 · Viscount Bhullar of Nanaimo meets Manitoba Schools Question and stands aside.,"{""season"": 115, ""response"": ""Neutral"", ""roll"": 0, ""personal_year"": 1890, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1828,,succession,dominion,Baron Meagher of Windsor: clean succession,Season 115 · Catherine Meagher succeeds to Baron Meagher of Windsor.,"{""season"": 115, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:27
1829,,transfer,confederation,Baron Skye of Belleville loses Haliburton—Kawartha Lakes,Season 115 · Baron Skye of Belleville gives up Haliburton—Kawartha Lakes (cession).,"{""season"": 115, ""reason"": ""cession"", ""riding"": ""Haliburton\u2014Kawartha Lakes""}",engine,2026-09-08 13:29:27
1830,,relational,confederation,Baron Skye of Belleville settles with Baron Uniacke of Bowmanville,Season 115 · Baron Skye of Belleville settles its grievance with Baron Uniacke of Bowmanville by cession.,"{""season"": 115, ""marker"": ""~"", ""ceded"": ""35035""}",engine,2026-09-08 13:29:27
1831,,relational,confederation,Baron Gillies of Woburn and Baron Lucas of Oakville form a compact,Season 115 · Baron Gillies of Woburn and Baron Lucas of Oakville enter into a compact.,"{""season"": 115, ""marker"": ""\u25c9+""}",engine,2026-09-08 13:29:27
1832,,succession,dominion,Baron Furlong of Émard: clean succession,Season 115 · Margaret Furlong succeeds to Baron Furlong of Émard.,"{""season"": 115, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:27
1833,,societal,confederation,Canadian Pacific Railway Chartered,Season 115 · Viscount Smoke of Barrie meets Canadian Pacific Railway Chartered and resists.,"{""season"": 115, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1881, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1834,,relational,confederation,Baron Rouleau de Chambly and Marquis Meagher of Chatham form a compact,Season 115 · Baron Rouleau de Chambly and Marquis Meagher of Chatham enter into a compact.,"{""season"": 115, ""marker"": ""\u25c9+""}",engine,2026-09-08 13:29:27
1835,,societal,confederation,Pacific Scandal,Season 115 · Baron Dickson of Moncton meets Pacific Scandal and resists.,"{""season"": 115, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:27
1836,,societal,confederation,Confederation Extension (Manitoba Act),Season 115 · Viscount Stefaniuk of North Battleford meets Confederation Extension (Manitoba Act) and resists.,"{""season"": 115, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1837,,societal,confederation,Laurier Elected,Season 115 · Baron Uniacke of Bowmanville meets Laurier Elected and exploits.,"{""season"": 115, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1896, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:27
1838,,other,confederation,Baron Uniacke of Bowmanville names an heir,Season 115 · Baron Uniacke of Bowmanville names Robert Uniacke heir.,"{""season"": 115, ""heir_age"": 12, ""role"": ""heir""}",engine,2026-09-08 13:29:27
1839,,relational,confederation,Earl Beauvais of Charles-LeMoyne and Baron Benjamin of La Pointe-de-l'Île fall out,Season 116 · Earl Beauvais of Charles-LeMoyne and Baron Benjamin of La Pointe-de-l'Île fall out over the patronage of a shared riding's offices.,"{""season"": 116, ""marker"": ""Sig\u2212"", ""cause"": ""friction"", ""grievance"": ""the patronage of a shared riding's offices""}",engine,2026-09-08 13:29:27
1840,,societal,dominion,Winnipeg General Strike,Season 116 · Baron Stefaniuk of Emerson meets Winnipeg General Strike and resists.,"{""season"": 116, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1919, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1841,,relational,dominion,Baron Stefaniuk of Emerson corresponds with Earl Beauvais of Charles-LeMoyne,Season 116 · Baron Stefaniuk of Emerson opens a correspondence with Earl Beauvais of Charles-LeMoyne.,"{""season"": 116, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:27
1842,,succession,dominion,Viscount Benjamin of Bellechasse: clean succession,Season 116 · David Benjamin succeeds to Viscount Benjamin of Bellechasse.,"{""season"": 116, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:27
1843,,relational,confederation,Viscount Benjamin of Bellechasse loses a dispute with Viscount Colby of Trois-Rivières,Season 116 · Viscount Benjamin of Bellechasse presses a claim against Viscount Colby of Trois-Rivières and is rebuffed.,"{""season"": 116, ""outcome"": ""lost""}",engine,2026-09-08 13:29:27
1844,,elevation,dominion,Marquis Mercier de Rimouski elevated,Season 116 · Earl Mercier de Rimouski is raised to Marquis.,"{""season"": 116, ""from"": ""Earl"", ""to"": ""Marquis""}",engine,2026-09-08 13:29:27
1845,,societal,dominion,Naval Service Act,Season 116 · Viscount McLellan of Belfast meets Naval Service Act and stands aside.,"{""season"": 116, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1910, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1846,,founding,dominion,Baron Cornwall of Revelstoke founded by partition from Earl Cornwall of Steveston,Season 116 · Baron Cornwall of Revelstoke is founded by partition from Earl Cornwall of Steveston.,"{""season"": 116, ""nature"": ""partition"", ""parent"": ""Cornwall""}",engine,2026-09-08 13:29:27
1847,,succession,dominion,Earl Cornwall of Steveston: clean succession,Season 116 · Anne Cornwall succeeds to Earl Cornwall of Steveston.,"{""season"": 116, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:27
1848,,relational,confederation,Earl Cornwall of Steveston corresponds with Baron Stefaniuk of Regina,Season 116 · Earl Cornwall of Steveston opens a correspondence with Baron Stefaniuk of Regina.,"{""season"": 116, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:27
1849,,relational,confederation,Baron Hoover of Simcoe corresponds with Baron Gillies of Woburn,Season 116 · Baron Hoover of Simcoe opens a correspondence with Baron Gillies of Woburn.,"{""season"": 116, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1850,,transfer,confederation,Earl Bouchard de Terrebonne absorbs Marquis Forbes of Preston,Season 116 · Earl Bouchard de Terrebonne absorbs Marquis Forbes of Preston.,"{""season"": 116, ""nature"": ""absorption"", ""reason"": ""escheat: no successor""}",engine,2026-09-08 13:29:27
1851,,relational,confederation,Earl Patterson of Kennebecasis corresponds with Baron Turgeon de St.-Jerome,Season 116 · Earl Patterson of Kennebecasis opens a correspondence with Baron Turgeon de St.-Jerome.,"{""season"": 116, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1852,,expansion,dominion,Viscount Cameron of Cornwall takes Whitby,Season 116 · Viscount Cameron of Cornwall takes Whitby.,"{""season"": 116, ""riding"": ""Whitby"", ""roll"": 9}",engine,2026-09-08 13:29:27
1853,,relational,confederation,Earl Bird of Winnipeg corresponds with Baron Proulx de Cumberland,Season 116 · Earl Bird of Winnipeg opens a correspondence with Baron Proulx de Cumberland.,"{""season"": 116, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:27
1854,,societal,dominion,Nickle Resolution Defeated,Season 116 · Baron Cardinal of Steinbach meets Nickle Resolution Defeated and leads.,"{""season"": 116, ""response"": ""Lead"", ""roll"": 7, ""personal_year"": 1919, ""magnitude"": ""Minor"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1855,,societal,confederation,Death of Sir John A. Macdonald,Season 116 · Viscount Bhullar of Nanaimo meets Death of Sir John A. Macdonald and resists.,"{""season"": 116, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1891, ""magnitude"": ""Minor"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1856,,relational,confederation,Baron Pegahmagabow of Wawa corresponds with Earl Beauvais of Charles-LeMoyne,Season 116 · Baron Pegahmagabow of Wawa opens a correspondence with Earl Beauvais of Charles-LeMoyne.,"{""season"": 116, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1857,,societal,confederation,Diamond Jubilee,Season 116 · Baron Skye of Belleville meets Diamond Jubilee and stands aside.,"{""season"": 116, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1897, ""magnitude"": ""Minor"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1858,,relational,confederation,Baron Proulx de Cumberland corresponds with Earl Bird of Winnipeg,Season 116 · Baron Proulx de Cumberland opens a correspondence with Earl Bird of Winnipeg.,"{""season"": 116, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1859,,transfer,confederation,Baron Lucas of Oakville loses Burlington,Season 116 · Baron Lucas of Oakville gives up Burlington (cession).,"{""season"": 116, ""reason"": ""cession"", ""riding"": ""Burlington""}",engine,2026-09-08 13:29:27
1860,,relational,confederation,Baron Lucas of Oakville settles with Viscount Worts of Milton,Season 116 · Baron Lucas of Oakville settles its grievance with Viscount Worts of Milton by cession.,"{""season"": 116, ""marker"": ""~"", ""ceded"": ""35017""}",engine,2026-09-08 13:29:27
1861,,societal,dominion,Vancouver Anti-Asian Riots,Season 116 · Baron Wallace of Hespeler meets Vancouver Anti-Asian Riots and stands aside.,"{""season"": 116, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1907, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1862,,societal,confederation,Jesuits' Estates Act Controversy,Season 116 · Baron Turgeon de St.-Jerome meets Jesuits' Estates Act Controversy and resists.,"{""season"": 116, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1888, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1863,,relational,confederation,Earl Beauvais of Charles-LeMoyne corresponds with Baron Stefaniuk of Emerson,Season 116 · Earl Beauvais of Charles-LeMoyne opens a correspondence with Baron Stefaniuk of Emerson.,"{""season"": 116, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1864,,expansion,confederation,Viscount Smoke of Barrie takes Barrie—Springwater—Oro-Medonte,Season 116 · Viscount Smoke of Barrie takes Barrie—Springwater—Oro-Medonte.,"{""season"": 116, ""riding"": ""Barrie\u2014Springwater\u2014Oro-Medonte"", ""roll"": 9}",engine,2026-09-08 13:29:27
1865,,societal,confederation,National Policy,Season 116 · Baron Benjamin of La Pointe-de-l'Île meets National Policy and leads.,"{""season"": 116, ""response"": ""Lead"", ""roll"": 7, ""personal_year"": 1878, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1866,,societal,confederation,National Policy,Season 116 · Viscount Chapais de Saint-Hyacinthe meets National Policy and stands aside.,"{""season"": 116, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1878, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1867,,societal,confederation,Indian Act,Season 116 · Baron Rouleau de Chambly meets Indian Act and stands aside.,"{""season"": 116, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1868,,relational,confederation,Baron Rouleau de Chambly corresponds with Viscount Marchand de Lac-Saint-Louis,Season 116 · Baron Rouleau de Chambly opens a correspondence with Viscount Marchand de Lac-Saint-Louis.,"{""season"": 116, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1869,,societal,confederation,Long Depression Reaches Canada,Season 116 · Baron Dickson of Moncton meets Long Depression Reaches Canada and stands aside.,"{""season"": 116, ""response"": ""Neutral"", ""roll"": 0, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1870,,other,confederation,Baron Dickson of Moncton names an heir,Season 116 · Baron Dickson of Moncton names Farquhar Dickson heir.,"{""season"": 116, ""heir_age"": 26, ""role"": ""heir""}",engine,2026-09-08 13:29:27
1871,,societal,confederation,Pacific Scandal,Season 116 · Baron Langelier de Rosemont meets Pacific Scandal and resists.,"{""season"": 116, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:27
1872,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 116 · Viscount Stefaniuk of North Battleford meets British Columbia Joins; Treaty 1 Signed and resists.,"{""season"": 116, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1873,,expansion,confederation,Viscount Stefaniuk of North Battleford takes Swift Current—Grasslands—Kindersley,Season 116 · Viscount Stefaniuk of North Battleford takes Swift Current—Grasslands—Kindersley.,"{""season"": 116, ""riding"": ""Swift Current\u2014Grasslands\u2014Kindersley"", ""roll"": 7}",engine,2026-09-08 13:29:27
1874,,societal,confederation,Klondike Gold Rush,Season 116 · Baron Uniacke of Bowmanville meets Klondike Gold Rush and leads.,"{""season"": 116, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1897, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1875,,expansion,confederation,Baron Uniacke of Bowmanville takes Oshawa,Season 116 · Baron Uniacke of Bowmanville takes Oshawa.,"{""season"": 116, ""riding"": ""Oshawa"", ""roll"": 11}",engine,2026-09-08 13:29:27
1876,,societal,confederation,Red River Resistance,Season 116 · Baron Jarvis of Spadina meets Red River Resistance and leads.,"{""season"": 116, ""response"": ""Lead"", ""roll"": 7, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1877,,founding,confederation,Baron Dyck of Calgary McKnight founded,"Season 116 · Baron Dyck of Calgary McKnight is created, seated at Calgary McKnight.","{""season"": 116, ""stats"": {""capital"": 32, ""influence"": 24, ""cohesion"": 63, ""ambition"": 6}, ""community"": ""Mennonite"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:27
1878,,relational,dominion,Marquis Mercier de Rimouski corresponds with Baron Hoover of Simcoe,Season 117 · Marquis Mercier de Rimouski opens a correspondence with Baron Hoover of Simcoe.,"{""season"": 117, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1879,,societal,dominion,Reciprocity Election,Season 117 · Viscount McLellan of Belfast meets Reciprocity Election and resists.,"{""season"": 117, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1911, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1880,,relational,confederation,Earl Cornwall of Steveston corresponds with Baron Stefaniuk of Regina,Season 117 · Earl Cornwall of Steveston opens a correspondence with Baron Stefaniuk of Regina.,"{""season"": 117, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1881,,other,dominion,Earl Langelier de Charlevoix endows an institution,Season 117 · Earl Langelier de Charlevoix endows an institution.,"{""season"": 117}",engine,2026-09-08 13:29:27
1882,,relational,dominion,Baron Cardinal of Steinbach corresponds with Earl Beauvais of Charles-LeMoyne,Season 117 · Baron Cardinal of Steinbach opens a correspondence with Earl Beauvais of Charles-LeMoyne.,"{""season"": 117, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:27
1883,,societal,confederation,North-West Resistance,Season 117 · Viscount Byrne of Cooksville meets North-West Resistance and exploits.,"{""season"": 117, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1885, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1884,,relational,confederation,Baron Turgeon de St.-Jerome and Earl Patterson of Kennebecasis are joined by marriage,"Season 117 · Corinne Turgeon marries Marion Patterson, binding Baron Turgeon de St.-Jerome to Earl Patterson of Kennebecasis.","{""season"": 117, ""marker"": ""kin""}",engine,2026-09-08 13:29:27
1885,,relational,confederation,Baron Furlong of Émard corresponds with Baron Meagher of Windsor,Season 117 · Baron Furlong of Émard opens a correspondence with Baron Meagher of Windsor.,"{""season"": 117, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1886,,relational,confederation,Earl Beauvais of Charles-LeMoyne corresponds with Baron Cardinal of Steinbach,Season 117 · Earl Beauvais of Charles-LeMoyne opens a correspondence with Baron Cardinal of Steinbach.,"{""season"": 117, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1887,,societal,confederation,CPR Strike,Season 117 · Viscount Smoke of Barrie meets CPR Strike and resists.,"{""season"": 117, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1883, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1888,,succession,confederation,Baron Rouleau de Chambly: clean succession,Season 117 · Hermine Rouleau succeeds to Baron Rouleau de Chambly.,"{""season"": 117, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:27
1889,,societal,confederation,Long Depression Reaches Canada,Season 117 · Baron Langelier de Rosemont meets Long Depression Reaches Canada and resists.,"{""season"": 117, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1890,,other,confederation,Baron Langelier de Rosemont names an heir,Season 117 · Baron Langelier de Rosemont names Angélique Langelier heir.,"{""season"": 117, ""heir_age"": 15, ""role"": ""heir""}",engine,2026-09-08 13:29:27
1891,,expansion,confederation,Viscount Stefaniuk of North Battleford takes Desnethé—Missinippi—Churchill River,Season 117 · Viscount Stefaniuk of North Battleford takes Desnethé—Missinippi—Churchill River.,"{""season"": 117, ""riding"": ""Desneth\u00e9\u2014Missinippi\u2014Churchill River"", ""roll"": 8}",engine,2026-09-08 13:29:27
1892,,societal,confederation,Confederation Extension (Manitoba Act),Season 117 · Baron Jarvis of Spadina meets Confederation Extension (Manitoba Act) and resists.,"{""season"": 117, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1893,,expansion,confederation,Baron Jarvis of Spadina takes Toronto Centre,Season 117 · Baron Jarvis of Spadina takes Toronto Centre.,"{""season"": 117, ""riding"": ""Toronto Centre"", ""roll"": 11}",engine,2026-09-08 13:29:27
1894,,societal,confederation,Red River Resistance,Season 117 · Baron Stefaniuk of Regina meets Red River Resistance and resists.,"{""season"": 117, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1895,,relational,confederation,Baron Cornwall of Revelstoke corresponds with Viscount Stefaniuk of North Battleford,Season 117 · Baron Cornwall of Revelstoke opens a correspondence with Viscount Stefaniuk of North Battleford.,"{""season"": 117, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:27
1896,,founding,confederation,Baron Shawanaga of Waterloo founded,"Season 117 · Baron Shawanaga of Waterloo is created, seated at Waterloo.","{""season"": 117, ""stats"": {""capital"": 35, ""influence"": 34, ""cohesion"": 70, ""ambition"": 3}, ""community"": ""Anishinaabe"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:27
1897,,relational,confederation,Baron Furlong of Émard and Baron Rouleau de LaSalle fall out,Season 118 · Baron Furlong of Émard and Baron Rouleau de LaSalle fall out over the patronage of a shared riding's offices.,"{""season"": 118, ""marker"": ""Sig\u2212"", ""cause"": ""friction"", ""grievance"": ""the patronage of a shared riding's offices""}",engine,2026-09-08 13:29:27
1898,,relational,confederation,Baron Proulx de Cumberland and Baron Turgeon de St.-Jerome fall out,Season 118 · Baron Proulx de Cumberland and Baron Turgeon de St.-Jerome fall out over the patronage of a shared riding's offices.,"{""season"": 118, ""marker"": ""Sig\u2212"", ""cause"": ""friction"", ""grievance"": ""the patronage of a shared riding's offices""}",engine,2026-09-08 13:29:27
1899,,relational,dominion,Viscount Wallace of Perth corresponds with Marquis Meagher of Chatham,Season 118 · Viscount Wallace of Perth opens a correspondence with Marquis Meagher of Chatham.,"{""season"": 118, ""marker"": ""+""}",engine,2026-09-08 13:29:27
1900,,societal,dominion,Progressives and the First Woman MP,Season 118 · Baron Stefaniuk of Emerson meets Progressives and the First Woman MP and resists.,"{""season"": 118, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1921, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:27
1901,,relational,dominion,Marquis Mercier de Rimouski corresponds with Baron Skye of Belleville,Season 118 · Marquis Mercier de Rimouski opens a correspondence with Baron Skye of Belleville.,"{""season"": 118, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:27
1902,,societal,dominion,Regulation 17,Season 118 · Viscount McLellan of Belfast meets Regulation 17 and resists.,"{""season"": 118, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1912, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
1903,,societal,dominion,Conscription Crisis,Season 118 · Earl Langelier de Charlevoix meets Conscription Crisis and leads.,"{""season"": 118, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1917, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:27
1904,,relational,dominion,Viscount Rochon de Rosedale and Baron Wallace of Hespeler are joined by marriage,"Season 118 · Marie Rochon marries William Wallace, binding Viscount Rochon de Rosedale to Baron Wallace of Hespeler.","{""season"": 118, ""marker"": ""kin""}",engine,2026-09-08 13:29:27
1905,,expansion,confederation,Earl Patterson of Kennebecasis takes Rimouski—La Matapédia,Season 118 · Earl Patterson of Kennebecasis takes Rimouski—La Matapédia.,"{""season"": 118, ""riding"": ""Rimouski\u2014La Matap\u00e9dia"", ""roll"": 8}",engine,2026-09-08 13:29:27
1906,,societal,dominion,Progressives and the First Woman MP,Season 118 · Baron Cardinal of Steinbach meets Progressives and the First Woman MP and exploits.,"{""season"": 118, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1921, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:27
1907,,relational,confederation,Baron Pegahmagabow of Wawa and Earl Beauvais of Charles-LeMoyne form a compact,Season 118 · Baron Pegahmagabow of Wawa and Earl Beauvais of Charles-LeMoyne enter into a compact.,"{""season"": 118, ""marker"": ""\u25c9+""}",engine,2026-09-08 13:29:27
1908,,societal,confederation,South African War,Season 118 · Baron Skye of Belleville meets South African War and leads.,"{""season"": 118, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1899, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:27
